"id","cca2","name"
"1","US","Pacific Time (US & Canada)"
"2","US","Mountain Time (US & Canada)"
"3","US","Central Time (US & Canada)"
"4","US","Eastern Time (US & Canada)"
"5","US","Arizona"
"6","US","Indiana (East)"
"7","US","Hawaii"
"8","US","Alaska"
"9","US","America/New_York"
"10","US","America/Detroit"
"11","US","America/Kentucky/Louisville"
"12","US","America/Kentucky/Monticello"
"13","US","America/Indiana/Indianapolis"
"14","US","America/Indiana/Vincennes"
"15","US","America/Indiana/Winamac"
"16","US","America/Indiana/Marengo"
"17","US","America/Indiana/Petersburg"
"18","US","America/Indiana/Vevay"
"19","US","America/Chicago"
"20","US","America/Indiana/Tell_City"
"21","US","America/Indiana/Knox"
"22","US","America/Menominee"
"23","US","America/North_Dakota/Center"
"24","US","America/North_Dakota/New_Salem"
"25","US","America/North_Dakota/Beulah"
"26","US","America/Denver"
"27","US","America/Boise"
"28","US","America/Phoenix"
"29","US","America/Los_Angeles"
"30","US","America/Anchorage"
"31","US","America/Juneau"
"32","US","America/Sitka"
"33","US","America/Yakutat"
"34","US","America/Nome"
"35","US","America/Adak"
"36","US","America/Metlakatla"
"37","US","Pacific/Honolulu"
